Short Description,regex,Attempt Regex,ChatGPT Output
non isolated 'b',(a|(b*bb))*,((a*bb)+(bbb*a*))*,"positive example: [bb, abbbb, aabbbbaa, bbb, aabbb, bbaa], negative example: [a, b, aba, baba, aaab, bbba]"
Every b followed by two or more a's,(a|baa)*,(b(aa)+)*a*,"positive example: [""baaa"", ""baaaaaa"", ""aaa"", ""baa"", ""baabaaa""], negative example: [""b"", ""ba"", ""aba"", ""baab"", ""baaaaab""]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1+(0*1))*|(0+(1*0)*)*,"positive example: [""1"", ""10"", ""101"", ""1101"", ""0"", ""01"", ""010"", ""0101""], negative example: [""2"", ""11"", ""00"", ""100"", ""0110"", ""111"", ""000"", ""1010""]"
even number of 1's,(0*10*10*)*|0*,0*|(0*|11)*|(0*10*1)0*,"positive example: ["""", ""0"", ""00"", ""11"", ""0011"", ""0101"", ""0000"", ""1100"", ""001001"", ""010010""], negative example: [""1"", ""01"", ""10"", ""101"", ""1001"", ""0110"", ""1101"", ""1010"", ""00101"", ""01010""]"
non isolated 'a',(b|(a*aa))*,(b*a*aa+b*|b*),"positive example: [""aa"", ""baa"", ""baaa"", ""b"", ""bb"", ""bbb"", ""a"", ""ba"", ""bba""], negative example: [""ab"", ""aab"", ""bab"", ""abaa"", ""baab"", ""baba"", ""abba""]"
Odd number of 1s,0*10*(10*10*)*,(10*(11)*0*10*1)|1011,"positive example: [1011, 100101, 1010101, 101101, 10001101], negative example: [111, 1000, 10101, 1101, 10011]"
even prefix,(ab|ba)*,(ab)+,"positive example: [ab, abab, ababab], negative example: [a, b, aba, bab]"
even number of 1's,(0*10*10*)*|0*,0*10*1,"positive example:[""101"", ""0101"", ""001001""], negative example:[""11"", ""100"", ""0001""]"
even number of 1's,(0*10*10*)*|0*,0*|(0*10*1)*,"positive example: [0, 00, 000, 1, 0101, 001001, 00010001], negative example: [01, 10, 011, 100, 010, 0010]"
non isolated 'b',(a|(b*bb))*,((aa*bbb*a*)+(a*))*,"positive example: [aabbba, aaaabbbbaa, aabbbaaa, aabbbaabbba, aaaabbbbaaaabbbbaa],  
negative example: [ab, b, aab, aaabbb, aabbbabbba]"
non isolated 'b',(a|(b*bb))*,(a)*(bb+bbb)*(a)*,"positive example: [aa, bb, bbb, aabbb, bba, aabbba, aaa, bbbbb, aabbbba], negative example: [ab, ba, b, a, baba, abab, bbbba, aabbbab, aabbbbaa]"
non isolated 'b',(a|(b*bb))*,a*(bb+|b+b)*a*(bb+|b+b)*a*,"positive example: [""aabbaa"", ""bb"", ""aabba"", ""abbba"", ""aaaabbbbaa""], negative example: [""aba"", ""abab"", ""aababaa"", ""baa"", ""aabbaab""]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0|1(0|1)*1|0(0|1)*0,"positive example: [0, 1, 10, 01, 110, 100, 010, 1010, 1110, 1000], negative example: [00, 11, 011, 101, 1100, 0011, 1111, 0101, 0000, 1001]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,1(0*1*)*1|0(0*1*)*0,"positive example: [101, 1001, 110, 0010, 010], negative example: [111, 000, 0110, 100, 0011]"
Odd number of b's,(a*ba*b)*a*ba*,((a*(bb))*((a)*b)(a)*),"positive example: [ ""bb"", ""aabba"", ""abba"", ""aab"", ""bba"", ""aaabbaa"", ""aabbaa"", ""abbaa"" ],  
negative example: [ ""a"", ""ba"", ""aaa"", ""bab"", ""baa"", ""abab"", ""aaab"", ""bbab"" ]"
even number of 1's,(0*10*10*)*|0*,(0)*11,"positive example: [11, 011, 0011, 00011], negative example: [1, 0, 001, 110, 111]"
An even number of 1's,(0|10*1)*,0|(0*10*10*)*,"positive example: [0, 010, 1010, 0010010, 000100100],  
negative example: [1, 011, 1001, 001100, 00011000]"
Odd number of b's,(a*ba*b)*a*ba*,a*(ba*ba*ba*),"positive example: [aaaabababa, bbb, bababa, abababa, aabaaabaaaba], negative example: [a, aa, ab, ba, aaba, aabba, baba, abab, bbaa]"
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,(a+|b*)a+,"positive example: [aaa, baa, aaba, bbaa], negative example: [ab, b, a, bb]"
non isolated 'b',(a|(b*bb))*,(a?)*(bb|bbb|abb)*(a?)*,"positive example: ["""", ""a"", ""bb"", ""bbb"", ""abb"", ""aabb"", ""bbbb"", ""abba"", ""aaa"", ""bbabba""],  
negative example: [""b"", ""ba"", ""ab"", ""baba"", ""abab"", ""aab"", ""bbaab"", ""bbaba""]"
non isolated 'b',(a|(b*bb))*,(a+abb+bba+a)*,"positive example: [a, abb, bba, aabb, bbaa, aabba, aabbbba, aabbabba], negative example: [ab, ba, b, aaab, abbaa, bbbaab, aabab, bbaabb]"
even number of 1's,(0*10*10*)*|0*,0*10*1(11)*0*,"positive example: [""010110"", ""101100"", ""0010110"", ""101110"", ""0101010""], negative example: [""010"", ""101"", ""001100"", ""1110"", ""00010""]"
Odd number of 1s,0*10*(10*10*)*,0*(1|1|1)0*,"positive example: [""0"", ""1"", ""00"", ""01"", ""10"", ""000"", ""001"", ""010"", ""100"", ""0000"", ""0001"", ""0010"", ""0100"", ""1000""],  
negative example: [""2"", ""11"", ""101"", ""011"", ""110"", ""111"", ""00011"", ""00111"", ""01110"", ""11100""]"
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,(a*|(b(b)*a(a)*)),"positive example: [""a"", ""aa"", ""b"", ""bba"", ""ba"", ""bbaa"", ""aaa"", ""bbbaaa""], negative example: [""ab"", ""aba"", ""aab"", ""bbab"", ""baa"", ""aabb"", ""baba"", ""abba""]"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,a*b*(baa)+a*b+,"positive example: [aabbaaab, bbaaab, aabbaaabbb, bbaaabbb], negative example: [aab, bba, aabba, bbaa]"
Every b followed by two or more a's,(a|baa)*,"a*(ba{3,})*","positive example: [""a"", ""aaa"", ""baaa"", ""abaaa"", ""aabaaabaaa""], negative example: [""b"", ""aba"", ""baa"", ""baaaa"", ""abaaabaa""]"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,b*a*baab*a*b*b,"positive example: [baab, bbaab, bbbbaab, bbaaab, bbaabbb], negative example: [aab, baba, baaab, bbaa, abbaab]"
Every b followed by two or more a's,(a|baa)*,([a]*[b][a]*(aa))*,"positive example: [baa, aabaa, aabaaaa, baaaa, aabaaaaa], negative example: [b, aa, aba, abaaa, aaba]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)(a|b)(ab*)aaaa*,"positive example: [aabaaaa, bbaaaaaa, aabbaaaaa, babaaaaa], negative example: [aaa, bbb, aabaa, baba]"
An even number of 1's,(0|10*1)*,(0*)|(10*1)*|(110*)*|(0*11)*,"positive example: ["""", ""0"", ""00"", ""101"", ""1001"", ""110"", ""1100"", ""011"", ""0011""], negative example: [""1"", ""01"", ""001"", ""111"", ""1010"", ""1101"", ""0110"", ""00110""]"
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111),"positive example: [1, 111, 11111], negative example: [11, 1111, 111111]"
Odd number of b's,(a*ba*b)*a*ba*,(a)*b(a|bb)*,"positive example: [b, ab, aba, abba, bba, bbba], negative example: [a, aa, aab, bab, baba, bbbb]"
non isolated 'b',(a|(b*bb))*,(a+bb*b)*,"positive example: [a, ab, abb, aab, abbb, aabb, aaab, abab, abbbab, aabbb],  
negative example: [b, ba, baa, baba, bb, bbb, babb, abba, aaba, bbaa]"
first and third,a(a|b)a(a|b)*,(aaaa|aaab|abaa|abab)(a+b)*,"positive example: [aaaaa, aaabbb, abaaa, ababaaa], negative example: [a, b, aba, abba, baaa]"
Length 1 or More,(0|1)(0|1)*,(0|1)(0|1)0*1*,"positive example: [00, 1101, 01001, 1001, 111], negative example: [0, 1, 011, 1010, 1110]"
Odd number of 1s,0*10*(10*10*)*,0*1(11)*0+,"positive example: [ ""010"", ""01110"", ""011110"", ""001110"", ""00011110"" ], negative example: [ ""0"", ""1"", ""00"", ""11"", ""0101"" ]"
Length 1 or More,(0|1)(0|1)*,(0|1)|(0|1)(0|1),"positive example:[0,1,00,01,10,11],negative example:[,2,3,001,110,1010]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(ab+)aaa+,"positive example: [abbaaa, abbbaaaa, abaaaaa], negative example: [aba, abbaa, abbaaab]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa|ab|ba|bb)a*b*(aaa)a*,"positive example: [aaaaa, abbaaa, bbaaaa, aabaaa, baaabaaa], negative example: [a, b, abab, baba, aaabba]"
non isolated 'b',(a|(b*bb))*,a*(bb)*,"positive example: [""a"", ""aa"", ""bb"", ""aabb"", ""aabbbb"", ""bbbb""], negative example: [""ab"", ""ba"", ""b"", ""aba"", ""aab"", ""abab""]"
Odd number of b's,(a*ba*b)*a*ba*,(bb)*(b),"positive example: [bb, bbb, bbbb, bbbbb], negative example: [b, bb, bbbb, bbbbb]"
non isolated 'b',(a|(b*bb))*,((a*bbb*a*)+(a*))*,"positive example: [""aabbaa"", ""bbba"", ""aaabbbaaa"", ""aabbbbaa"", ""bb""], negative example: [""abab"", ""ba"", ""aab"", ""bbab"", ""aaba""]"
non isolated 'b',(a|(b*bb))*,(bbb*a*)*|a*,"positive example: [a, aa, bbb, bbba, bbbaa, abbb, aabbb, bbbabbba], negative example: [ab, ba, baba, bbaaab, abab, bbbabab]"
contains 'bab',(a|b)*(bab)(a|b)*,((ab)*)*bab((ab)*)*,"positive example: [bab, abbab, ababbab, abababbab, ababababbab], negative example: [a, b, aba, abba, ababab]"
Odd number of 1s,0*10*(10*10*)*,0*1(0*10*1)*0,"positive example: [010, 0110, 01010, 011010, 00100], negative example: [0, 1, 00, 11, 0100]"
even number of 1's,(0*10*10*)*|0*,0*(11)*(0*10*1(0*|11)*)0*,"positive example: [""0"", ""11"", ""0110"", ""11011"", ""0011001""], negative example: [""1"", ""01"", ""101"", ""0111"", ""00101""]"
Odd number of b's,(a*ba*b)*a*ba*,(aa)*b(bb)*,"positive example: [b, aab, aaaabbb, aabbb, aaabbb], negative example: [a, ab, aabb, bbb, aaaab]"
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100),"positive example: [1, 111, 11111, 10, 1110, 01, 100, 001, 010, 1011, 1000, 1101, 0001, 0010, 0111, 0100, 10101, 10110, 10011, 10000, 11001, 11010, 11100, 00001, 00010, 00111, 00100, 01101, 01110, 01011, 01000, 101001, 101010, 101111, 101100],  
negative example: [0, 00, 11, 101, 110, 1001, 1010, 1100, 1111, 10001, 10100, 11011, 11101, 00000, 00101, 01010, 01100, 10010, 101000, 101011, 101101, 11000, 11110, 00011, 00110, 01001, 01111, 100101, 101110, 110000]"
first and third,a(a|b)a(a|b)*,(aaa)*(aba+aaa)(a+b)*,"positive example: [aaaaba, aaaabab, abaab, aaaabaaa, aaaabaaab], negative example: [aa, b, ab, aab, aaaaab]"
Odd number of 1s,0*10*(10*10*)*,0*1(11)*0,"positive example: [01, 0110, 011110, 01111110], negative example: [0, 1, 00, 10, 011, 0111, 01100]"
first and third,a(a|b)a(a|b)*,(aba(a+b)*)+(aaa(a+b)*),"positive example: [abaa, abab, abaaa, ababa, aaaa, aaab, aaaaa, aaaab], negative example: [a, b, aa, ab, bb, aba, aab, baa, bab, bbb, aaaaaa, ababab]"
At least one a followed by one b,a+b,ab,"positive example:[ab, abb, abbb], negative example:[a, b, aa, bb, ba]"
Odd number of b's,(a*ba*b)*a*ba*,(a)*(bb)*(b)(a)*(bb)*(a)*,"positive example: [abba, aabbba, bbaa, aabba, bbaabba], negative example: [abab, aaa, bbbb, aba, baba]"
non isolated 'b',(a|(b*bb))*,(bb)*,"positive example: [bb, bbbb, bbbbbb], negative example: [b, bbb, bbbbb]"
Every b followed by two or more a's,(a|baa)*,(a)*(baa)*,"positive example: [""a"", ""aa"", ""baa"", ""abaa"", ""aabaa"", ""baabaa""], negative example: [""b"", ""aba"", ""ba"", ""aaba"", ""baaba"", ""bbaa""]"
Length 1 or More,(0|1)(0|1)*,0*1+0*1*0*|1*0+1*0*1*,"positive example: [ ""010"", ""110"", ""00110"", ""1001"", ""1110"", ""000100"", ""101010"" ],  
negative example: [ ""00"", ""11"", ""000"", ""111"", ""0101"", ""1010"", ""0011"" ]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa|ab|ba|bb)a*b*aaaa*,"positive example: [aaaabaaaa, baaaaaaa, aabbaaaaa, abaaaaaa], negative example: [aaab, bbaa, aaba, bbba]"
Every b followed by two or more a's,(a|baa)*,a*|a*baa+|baa+,"positive example: [""a"", ""aa"", ""aaa"", ""baaa"", ""baaaa"", ""baaaaa""], negative example: [""b"", ""ba"", ""bb"", ""ab"", ""aab"", ""baaab""]"
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110),"positive example:[1, 111, 11111, 10, 1110], negative example:[11, 110, 1111, 11110, 101]"
Odd number of 1s,0*10*(10*10*)*,0*1(0*(11)*0*)*,"positive example: [01, 0110, 01110, 010110, 01100110], negative example: [0, 1, 10, 011, 01100]"
Length 2 and 3,(0|1)(0|1)|(0|1)(0|1)(0|1),(11)|(110)|(100)|(10)|(01)|(111)|(000)|(101)|(011)|(010)|(001),"positive example: [11, 110, 100, 10, 01, 111, 000, 101, 011, 010, 001],  
negative example: [0, 1, 00, 0111, 1010, 1111, 0000, 1100, 1001, 0101, 0011]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(010)*|(101)*,"positive example: [010, 101, 010010, 101101, 010101010], negative example: [0110, 1001, 0011, 1100, 010110]"
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*b)|((a|b)a*ba)?,"positive example: [aa, ba, aab, bab, aaba, baba], negative example: [ab, bb, aaa, baa, aabb, bbba]"
non isolated 'b',(a|(b*bb))*,(a*bbb*)*,"positive example: [abbb, aabbb, bbb, aaabbbbb, abbbabbb], negative example: [a, b, abb, bbba, aab]"
even number of 1's,(0*10*10*)*|0*,0*(((10*)1)*),"positive example: [""0"", ""0101"", ""0010101"", ""101"", ""010101""], negative example: [""1"", ""01"", ""001"", ""1010"", ""01010""]"
Odd number of b's,(a*ba*b)*a*ba*,(a*ba*ba*b)|b,"positive example: [b, aba, aabaaab, baba, aabbaab], negative example: [a, aa, abab, bbb, aaaab]"
non isolated 'b',(a|(b*bb))*,a*bba*,"positive example: [bba, abba, aabba, aaaabba], negative example: [ab, aa, b, bbb, aba]"
non isolated 'a',(b|(a*aa))*,(b+(aa))*,"positive example: [bb, bbaa, aabbaa, bbbaa, bbaabbaa], negative example: [a, baba, baaab, abba, bbaabba]"
first and third,a(a|b)a(a|b)*,(aba)*(aaa+aba)(a+b)*(aba)*,"positive example: [abaaaaa, abaaaaaab, abaabaaaa, abaabaabaa, aaaababaa], negative example: [ab, aab, baa, abab, baba]"
Length 2 and 3,(0|1)(0|1)|(0|1)(0|1)(0|1),00|01|10|11,"positive example:[00,01,10,11],negative example:[0,1,000,111,0101]"
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(((a|b)a*b)(a(a|b)a*b)*)?,"positive example: [ ""bab"", ""aab"", ""baabaaab"", ""aabaaab"", ""b"" ], negative example: [ ""aa"", ""bb"", ""aba"", ""baa"", ""abab"" ]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((1+|0+)|(1+0+1(1|(0+1))*)|(0+1+0(0|(1+0))*)),"positive example: [111, 000, 110101, 010101, 1110110, 0001001], negative example: [1010, 01010, 11001, 00110, 111000, 000111]"
Every b followed by two or more a's,(a|baa)*,a|baa,"positive example: [a, baa], negative example: [b, aa, ba, aba, aab]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0+(1+0)*)|(1+(0+1)*),"positive example: [0, 1, 00, 01, 10, 11, 000, 010, 101, 110, 111, 0010, 1101], negative example: [2, 3, 12, 20, 21, 22, 0112, 1020, 1201]"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,a*b+a+a+b+,"positive example: [aabbaab, aaabaaab, bbaabbb], negative example: [aabab, bbaa, aabba]"
non isolated 'b',(a|(b*bb))*,(a|bb)*(a|bbb)*(a|bb)*,"positive example: [a, bb, aa, bba, abbb, bbbba, aabbb, bbabbb], negative example: [b, ab, baba, bbbbb, aab, abab, bbbab, ababab]"
Odd number of b's,(a*ba*b)*a*ba*,a*b(a*bb)*a*,"positive example: [aba, aabba, aaabbbba, bba, abbba], negative example: [ab, b, aaa, bbb, aabaa]"
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100)|(010101)|(010110),"positive example: [1, 111, 11111, 10, 1110, 01, 100, 001, 010, 1011, 1000, 1101, 0001, 0010, 0111, 0100, 10101, 10110, 10011, 10000, 11001, 11010, 11100, 00001, 00010, 00111, 00100, 01101, 01110, 01011, 01000, 101001, 101010, 101111, 101100, 100101, 100110, 100011, 100000, 110001, 110010, 110111, 110100, 111011, 111000, 111101, 111110, 000001, 000010, 000111, 000100, 001101, 001110, 001011, 001000, 011001, 011010, 011111, 011100, 010101, 010110],  
negative example: [11, 110, 101, 1100, 1010, 1001, 0000, 0110, 10100, 10010, 11000, 11110, 00000, 00101, 01010, 10001, 101000, 100010, 110011, 111001, 000011, 001100, 010001, 100100, 101101, 110101, 111010, 000101, 001010, 010100, 101011, 110110, 111111, 000000, 001001, 010010, 1001010, 1011010, 1100110, 1110101, 0000101, 0010110, 0101010, 1010101, 1101010, 1111010, 0001010, 0010101, 0101011, 1010100, 1101011, 1110100, 0001011, 0010100, 0101010, 10101010, 11010101, 11101010, 00010101, 00101010, 01010101, 10101011, 11010110, 11101011, 00010110, 00101011, 01010110]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1(0*1+))*|(0(1*0+))*,"positive example: [ ""101"", ""1101"", ""10001"", ""010"", ""0110"", ""00100"", ""101010"", ""010101"" ],  
negative example: [ ""0"", ""1"", ""00"", ""11"", ""000"", ""111"", ""1000"", ""0111"", ""1010"", ""0101"" ]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0+(1+0+)*|1+(0+1+)*,"positive example: [0, 1, 00, 11, 010, 101, 0001, 1110, 00110, 11001],  
negative example: [01, 10, 001, 110, 011, 100, 0101, 1010, 0011, 1100]"
non isolated 'b',(a|(b*bb))*,(a*(bbb*)*),"positive example: [""a"", ""aa"", ""ab"", ""abb"", ""aabbb"", ""abbb"", ""aaabbbbb""],  
negative example: [""b"", ""ba"", ""bbba"", ""bab"", ""abab"", ""bbbaba"", ""aabba""]"
non isolated 'a',(b|(a*aa))*,b*(aa)*b*,"positive example: [""b"", ""aa"", ""baab"", ""bbaabb"", ""aabaa""], negative example: [""a"", ""aba"", ""baaab"", ""abab"", ""baba""]"
non isolated 'b',(a|(b*bb))*,a*(a+bb)*a*,"positive example: [a, aa, aaa, bba, aabba, aabbaa, bbaa, aabbba], negative example: [b, ab, ba, abb, baba, aabab, abab, bbba]"
An even number of 1's,(0|10*1)*,(11)*,"positive example: ["""", ""11"", ""1111"", ""111111""], negative example: [""1"", ""111"", ""11111"", ""1111111""]"
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*ba)*,"positive example: [ababa, aaba, baba, aababa, babaaba], negative example: [aa, bb, ab, ba, aabba]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*|1*|(0+1*0+)*|(1+0*1+)(01)*,"positive example: ["""", ""0"", ""1"", ""00"", ""11"", ""000"", ""111"", ""010"", ""101"", ""0011"", ""1100"", ""0101"", ""1010"", ""000111"", ""111000"", ""010101""],  
negative example: [""01"", ""10"", ""001"", ""110"", ""0110"", ""1001"", ""00110"", ""11001"", ""01010"", ""10101"", ""000011"", ""111100"", ""010110"", ""101001""]"
non isolated 'b',(a|(b*bb))*,((bb)|a)*,"positive example: [a, bb, aabb, bba, abba, bbab, aaa, bbb, aabbaa], negative example: [b, ba, aba, baba, abab, bbbba, aaab, bbbab, aabab]"
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011),"positive example: [1, 111, 11111, 10, 1110, 01, 100, 001, 010, 1011, 1000, 1101, 0001, 0010, 0111, 0100, 10101, 10110, 10011, 10000, 11001, 11010, 11100, 00001, 00010, 00111, 00100, 01101, 01110, 01011],  
negative example: [11, 110, 101, 1001, 1010, 1100, 0000, 0011, 0110, 10100, 10010, 11000, 00000, 00101, 01010, 01100, 10001, 10111, 11011, 11101, 11110, 00011, 00110, 01001, 01111, 10010, 10101, 11000, 11110, 00000]"
even prefix,(ab|ba)*,(ab)*(ba)*(ab)*,"positive example: [ab, ba, abab, baba, abba, ababba, ababab, bababa], negative example: [a, b, aba, bab, abb, baa, ababb, baab]"
Odd number of b's,(a*ba*b)*a*ba*,((a)*|(bb)*|(a)*)b((a)*|(bb)*|(a)*),"positive example: [""ab"", ""bb"", ""aab"", ""bbab"", ""abba""], negative example: [""b"", ""a"", ""bbb"", ""aba"", ""baa""]"
Every b followed by two or more a's,(a|baa)*,a+(baa)*,"positive example: [a, aa, aaa, abaa, aabaa, aabaaabaa, aabaaabaaabaa], negative example: [b, ba, aba, aab, baaa, aaba, aaab, aababaa, aabaabaa]"
Odd number of b's,(a*ba*b)*a*ba*,(a*b(a*bb)*a*|a*(a*bb)*a*b),"positive example: [ab, abb, aab, aabb, bba, baba, aaabbb, ababba],  
negative example: [ba, bbb, aaa, babaab, ababab, bbaa, aabbaa]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(011*0)*|(100*1)*,"positive example: [0110, 1001, 0110110, 1001001, 01100110], negative example: [010, 101, 01110, 10001, 011010]"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,baa(b),"positive example: [baab, baaab, baaaaab], negative example: [ba, baaa, baaaabb]"
non isolated 'b',(a|(b*bb))*,(a*(bb)b*)*,"positive example: [ ""bb"", ""abba"", ""aabbbba"", ""aaaabbb"", ""bbbb"", ""aabbaaabbb"" ], negative example: [ ""a"", ""b"", ""aba"", ""baab"", ""aabab"", ""ababab"" ]"
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100)|(010101)|(010110)|(010011)|(010000)|(101001)|(1010001)|(1010010)|(1010111)|(1010100)|(1011101)|(1011110)|(1011011)|(1011000)|(1001001)|(1001010)|(1001111)|(1001100)|(1000101)|(1000110),"positive example: [1, 111, 11111, 10, 1110, 01, 100, 001, 010, 1011, 1000, 1101, 0001, 0010, 0111, 0100, 10101, 10110, 10011, 10000, 11001, 11010, 11100, 00001, 00010, 00111, 00100, 01101, 01110, 01011, 01000, 101001, 101010, 101111, 101100, 100101, 100110, 100011, 100000, 110001, 110010, 110111, 110100, 111011, 111000, 111101, 111110, 000001, 000010, 000111, 000100, 001101, 001110, 001011, 001000, 011001, 011010, 011111, 011100, 010101, 010110, 010011, 010000, 101001, 1010001, 1010010, 1010111, 1010100, 1011101, 1011110, 1011011, 1011000, 1001001, 1001010, 1001111, 1001100, 1000101, 1000110],  
negative example: [0, 11, 101, 110, 1001, 1010, 1100, 1111, 0000, 0011, 0101, 0110, 10001, 10100, 11000, 11110, 00000, 00101, 01001, 01100, 100001, 101000, 110000, 111100, 000000, 001001, 010001, 011000, 1000000, 1010000, 1100000, 1111000]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa|bb|ab|ba)+aaa,"positive example: [aaaaa, bbaaa, abaaaa, baaaaa], negative example: [aa, bb, ab, ba, aab, bba, aba, baa]"
Odd number of 1s,0*10*(10*10*)*,0*1(11)+,"positive example: [011, 0111, 01111, 00111, 0001111], negative example: [0, 1, 00, 01, 001, 010, 0110, 111, 1111]"
3 | #b,a*(ba*ba*ba*)*,((ba*)(ba*)(ba*))*,"positive example: [ ""bababa"", ""bbabba"", ""bbbbbbb"", ""babababa"", ""baaabaaabaaa"" ], negative example: [ ""a"", ""b"", ""ab"", ""ba"", ""bba"", ""aba"", ""bbab"", ""baab"" ]"
Length 1 or More,(0|1)(0|1)*,0|1,"positive example:[0,1],negative example:[00,11,01,10]"
Odd number of b's,(a*ba*b)*a*ba*,a*(bb)*a*b(bb)*a*,"positive example: [""aabbaab"", ""bbabbba"", ""abba"", ""aabbbba"", ""bbbba""], negative example: [""abab"", ""baab"", ""abbba"", ""aabab"", ""bbabab""]"
even number of 1's,(0*10*10*)*|0*,(0)*,"positive example: [""0"", ""00"", ""000"", """"], negative example: [""1"", ""01"", ""10"", ""001""]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((01)*0)*,"positive example: [0, 010, 01010, 010010, 01010010], negative example: [1, 011, 0101, 010011, 0101001]"
non isolated 'b',(a|(b*bb))*,(a|bb)*(a|bb)*,"positive example: [a, bb, aa, bba, abba, bbaa, aabb, bbb, aabbaa], negative example: [b, ab, ba, bbbba, abab, baba, aabab, bbbab]"
Odd number of 1s,0*10*(10*10*)*,[1]{3},"positive example: [111], negative example: [11, 1, 1111]"
