Short Description,regex,Attempt Regex,ChatGPT Output
non isolated 'b',(a|(b*bb))*,(a|bb*)*,"positive example: [a, aa, abb, bba, abba, b, bb, bbb, ab, aba, abbb], negative example: [c, ac, bca, abac, bbbca, abc, abcb, abbc, abbbca]"
Odd number of b's,(a*ba*b)*a*ba*,(a*)b((a*)|(b+(a*)+b))+(a*),"positive example:[""ab"", ""aab"", ""abab"", ""aabb"", ""aaabbb"", ""abba"", ""abbba"", ""aabbaa""], negative example:[""b"", ""a"", ""ba"", ""aba"", ""baa"", ""bb"", ""bab"", ""aaba""]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*|1*|(1*0+1+)*|(0*1+0+)*,"positive example: ["""", ""0"", ""1"", ""000"", ""111"", ""10"", ""01"", ""110"", ""001"", ""1010"", ""0101"", ""111000"", ""000111"", ""101010"", ""010101""],  
negative example: [""2"", ""a"", ""01a"", ""10b"", ""0112"", ""101c"", ""000a1"", ""111b0"", ""abc"", ""120"", ""210"", ""a0b1"", ""1a0b""]"
even prefix,(ab|ba)*,(ab(ab)*)*((a|b)(a|b))*,"positive example: [abab, ababab, abababab, aabb, ababaa, ababbb, abababaa, abababbb],  
negative example: [a, b, aba, abb, baa, bab, ababa, ababb, abba, abbb]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,aaa(a)*|(a|b)*baaa(a)*,"positive example: [aaa, aaaa, aaabaaa, baaa, aabaa, baaaa], negative example: [aa, ab, baa, aab, ba, aba]"
Every b followed by two or more a's,(a|baa)*,(a|(a*b*(aa)a*)*)*,"positive example: [""a"", ""aa"", ""aaa"", ""aabaa"", ""aabaaa"", ""aabaaaa"", ""aabbaa"", ""aabbaaa"", ""aabbaaaa"", ""aabbaabaa""],  
negative example: [""b"", ""ab"", ""ba"", ""aba"", ""bab"", ""aaba"", ""aabab"", ""aabba"", ""aabbba"", ""aabbbaa""]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa|ab|ba|bb)*(a|b)*aaa,"positive example: [aaa, bbaaa, aabaaa, abbaaa, bbaaabaaa], negative example: [aa, ab, ba, bb, aab, bba, abab, baba]"
Every b followed by two or more a's,(a|baa)*,a*|(a|b)*aa,"positive example: [ ""a"", ""aa"", ""aaa"", ""aa"", ""baa"", ""abaa"", ""bbaa"" ], negative example: [ ""b"", ""ab"", ""ba"", ""aba"", ""bba"", ""abb"", ""bab"" ]"
At least one a followed by one b,a+b,a|a*b,"positive example: [a, b, ab, aab, aaab], negative example: [ba, aba, aaba, baa, bb]"
even prefix,(ab|ba)*,(ab|ba?)*(aa|ab|bb|ba)*,"positive example: [ab, baa, abba, ababaa, babaab], negative example: [a, b, aba, bbba, aabbaa]"
Three Choices (Regex),001|1010|110,001|110|10101|1010,"positive example: [001, 110, 10101, 1010], negative example: [000, 111, 1011, 1001]"
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(((a|b)a*ba)|((a|b)a*b))*,"positive example: [aab, bab, aaba, baba, aabaa, babab, aabba, babaab],  
negative example: [aa, bb, aba, bba, abab, bbaa, abba, bbbaa]"
Odd number of b's,(a*ba*b)*a*ba*,(a*b+a*)*,"positive example: [ab, aab, baa, aabbaa, b, aababaa], negative example: [aba, baba, aabab, aaabbb, aabbaab]"
Odd number of b's,(a*ba*b)*a*ba*,([ab](a)*(bb)*)*,"positive example: [aa, ab, aabb, bbaa, ababbaa], negative example: [baa, abab, aab, bba, abbaa]"
A valid comment (Sipser 1.22b),/#(/|a|b|##*(a|b))*##*/,/#*(a|b|/|(#*(a|b)))*#*/,"positive example: [""#a#"", ""##b##"", ""#a/b#"", ""##a#b##"", ""#b/a#"", ""###""],  
negative example: [""a#b"", ""#a#b"", ""a/b"", ""ab"", ""##a##b"", ""#a#b#""]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)+aaa,"positive example: [aaaa, baaa, abaaa, bbaaa], negative example: [a, b, aa, bb, aab, bba, aba, bbb]"
even prefix,(ab|ba)*,((aa)*|(bb)*)(aa|bb|ab|ba)*,"positive example: [aa, bb, aaaa, bbbb, aabb, bbaa, abab, baba, aabbaa, bbaabb],  
negative example: [a, b, aba, bab, aab, bba, abba, baab, aabab, bbabba]"
Odd number of b's,(a*ba*b)*a*ba*,(a*|b?)+,"positive example: [""a"", ""b"", ""aa"", ""ab"", ""ba"", ""bb"", ""aab"", ""aba"", ""bba"", ""aaa"", ""bbb"", ""aabb"", ""abab"", ""baba""], negative example: [""c"", ""ac"", ""bc"", ""abc"", ""aac"", ""bbc"", ""abac"", ""babc"", ""aabc"", ""abbc""]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)+(aaa)+,"positive example: [baaa, aaaaa, bbaaa], negative example: [aa, ab, bba]"
even prefix,(ab|ba)*,(aa|bb|ab|ba)*,"positive example: [aa, bb, ab, ba, aaaa, bbbb, abab, baba, aabb, bbaa],  
negative example: [a, b, aab, bba, abaab, bbaab, abc, aabbc, abbaa, bbaab]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((1+0*1+)*)|((0+1*0+)*)|(0|1)*,"positive example: [ ""101"", ""010"", ""1101"", ""0010"", ""0"", ""1"", ""111000"", ""000111"", ""101010"", ""010101"" ],  
negative example: [ ""2"", ""a"", ""10a"", ""01b"", ""abc"", ""120"", ""0112"", ""101a"", ""0b1"", ""1c0"" ]"
Odd number of b's,(a*ba*b)*a*ba*,a*b+(a|ba*b)*,"positive example: [ab, aab, b, aaab, baaab], negative example: [ba, aba, aaba, bba, aabaa]"
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,(0*)(0*1*)*(0*),"positive example: [""0"", ""01"", ""001"", ""0001"", ""00001"", ""000011"", ""0000110"", ""00001100""],  
negative example: [""1"", ""10"", ""11"", ""101"", ""110"", ""111"", ""1010"", ""1101""]"
Every b followed by two or more a's,(a|baa)*,[a]*[baa]*,"positive example: [a, aa, baa, aabaa, aaa, baaa, aabaaa], negative example: [b, ab, aba, ba, bb, bba, aab]"
Odd number of b's,(a*ba*b)*a*ba*,(((a*)*(b*))*(b*))+b+(((a*)*(b*))*(b*)),"positive example: [""ab"", ""aab"", ""bb"", ""abab"", ""aabb"", ""babb"", ""aaabbb"", ""ababab""],  
negative example: [""a"", ""b"", ""ba"", ""aba"", ""bab"", ""aaab"", ""bbba"", ""abba""]"
non isolated 'b',(a|(b*bb))*,(a|(b*b)*)*,"positive example: [a, b, bb, ab, bbb, aba, bbba, abbb, bbbbb, abab], negative example: [c, aa, ba, abb, bba, ababab, bbbaa, aab, baba, abba]"
even prefix,(ab|ba)*,(((aa)|(bb)|(ab)|(ba))?)*,"positive example: [aa, bb, ab, ba, aabb, abba, bbaa, aaab, baba, aabbaa],  
negative example: [a, b, aba, bab, aab, bba, aaa, bbb, abab, babaab]"
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),(0+(1*0)*)*|(1+(0*1)*)*,"positive example: [0, 1, 00, 11, 010, 101, 0000, 1111, 01010, 10101],  
negative example: [01, 10, 001, 110, 0101, 1010, 0011, 1100, 01011, 10100]"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a|b)*|(baa)+b,"positive example: [a, b, aa, ab, ba, baa, baaa, baaab, baaaba, baaabaa], negative example: [bb, aba, baba, baab, baaaab, baaabb, baaabab]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa|ab|ba|bb|b|a)*(aaa)a*,"positive example: [aaaa, aaaaa, baaa, abaaa, bbaaa], negative example: [a, b, ab, ba, bb]"
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,(0)*(0*1*)*(0)*,"positive example: [""0"", ""01"", ""001"", ""0001"", ""0011"", ""000011"", ""000"", ""0000""],  
negative example: [""1"", ""10"", ""110"", ""101"", ""0110"", ""1001"", ""111"", ""1010""]"
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((((a|b)a*ba)|((a|b)a*b))*)?,"positive example: [""aab"", ""baab"", ""aabaab"", ""baaab"", ""abab"", ""bab""], negative example: [""aa"", ""bb"", ""aba"", ""baa"", ""a"", ""b""]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(ab|aa|bb|ba)*aaa*,"positive example: [aaabaa, bbaaaa, ababaaa, aaaaa, bbaaabaaa], negative example: [abab, bbaa, abba, aab, baba]"
Every b followed by two or more a's,(a|baa)*,(a*)+(a*|(b+a+a))+(a*),"positive example: [""aa"", ""aaa"", ""abaa"", ""aabaa"", ""baa""], negative example: [""b"", ""bb"", ""aba"", ""abab"", ""aabba""]"
even number of 1's,(0*10*10*)*|0*,((0*|1)*(0*|1)*)*,"positive example: [""0"", ""1"", ""01"", ""10"", ""0011"", ""1100"", ""000"", ""111"", ""0101"", ""1010""],  
negative example: [""2"", ""a"", ""01a"", ""b10"", ""00112"", ""1100c"", ""000d"", ""111e"", ""0101f"", ""1010g""]"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(b*a*|a*b*)*(baa)+(b*a*|a*b*)*,"positive example: [""baa"", ""bbbaa"", ""aaabaa"", ""bbbaaaaa"", ""aabaaabaa""],  
negative example: [""bab"", ""aba"", ""bbaab"", ""aabba"", ""abbaa""]"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(baa)*(a|b)*(baa)*b,"positive example: [baab, baaabaaab, baaab, baaabaaabaaab, baaabaaabaaabaaab], negative example: [a, b, ba, baaa, baaabaa]"
Length 2 and 3,(0|1)(0|1)|(0|1)(0|1)(0|1),(0|1)?(0|1)?(0|1)?,"positive example: [0, 1, 00, 01, 10, 11, 000, 001, 010, 011, 100, 101, 110, 111],  
negative example: [2, 00a, 1b, 012, 1100, 1111, a01, b10, 0.1, 1.0]"
contains 'bab',(a|b)*(bab)(a|b)*,(a*b*(bab)*a*b*)*,"positive example: [ab, aab, bab, aabbab, ababab, aabbaabbaabb], negative example: [ba, aba, baba, aabba, abba, bbaa]"
non isolated 'b',(a|(b*bb))*,(a*(bb*)*a*)*,"positive example: [ ""a"", ""aa"", ""abba"", ""aabbaa"", ""bb"", ""bba"", ""abab"", ""aaaa"", ""bbbb"", ""aabbbaa"" ],  
negative example: [ ""b"", ""ba"", ""aba"", ""bab"", ""aab"", ""baa"", ""ababab"", ""baba"", ""aaabbb"", ""bbbaaa"" ]"
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),0|1|(0(1*0*)*0)*|(1(0*1*)*1)*,"positive example: [0, 1, 00, 11, 010, 101, 0000, 0110, 1001, 1111],  
negative example: [2, 01a, 10b, 0011, 1100, 012, 102, 0001, 1110]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)(a|b)*aaa(a)*,"positive example: [baaaa, aaaaaa, baaabaaaa], negative example: [ab, baa, aabaa]"
non isolated 'b',(a|(b*bb))*,(a*|(b*bb*)+)*,"positive example: ["""", ""a"", ""aa"", ""b"", ""bb"", ""bbb"", ""ab"", ""aab"", ""bbab"", ""abab"", ""aabb"", ""aabbb""],  
negative example: [""ba"", ""aba"", ""bba"", ""abba"", ""aaba"", ""bab"", ""baba"", ""abbbba""]"
At least one a followed by one b,a+b,(a|b)+b,"positive example: [ab, abb, aab, bbb, aabb], negative example: [a, b, aa, bb, aba]"
Odd number of b's,(a*ba*b)*a*ba*,(a|b)*(b)(a|b)*,"positive example: [ab, ba, aab, bba, abab, baba], negative example: [a, b, aa, bb, aaa, bbb]"
Three Choices (Regex),001|1010|110,(001|1010|110)+,"positive example: [001, 1010, 110, 0011010, 110001, 1010110, 001001110],  
negative example: [0, 1, 00, 01, 10, 11, 100, 101, 1001, 1011, 1100, 1101, 0010, 10101, 11011]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0*1*0*)|(1*0*1*))*,"positive example: [""010"", ""101"", ""001100"", ""110011"", ""000111000"", ""111000111""], negative example: [""0110"", ""1001"", ""001011"", ""110100"", ""010101"", ""101010""]"
An even number of 1's,(0|10*1)*,(0*1?0*1?0*)*,"positive example: [""010"", ""001100"", ""000111000"", ""1010"", ""0000""],  
negative example: [""11"", ""000"", ""111"", ""01"", ""10""]"
Odd number of b's,(a*ba*b)*a*ba*,a*b(a*|ba*|b)*a*,"positive example: [ ""aba"", ""aabaa"", ""bbba"", ""abbaa"", ""aaabaaa"" ], negative example: [ ""abc"", ""aab"", ""baa"", ""abab"", ""baab"" ]"
Three Choices (Regex),001|1010|110,(001|1010|110)*,"positive example: [001, 1010, 110, 001001, 1010110, 110110, 0011010, 1010001, 110001110],  
negative example: [0, 1, 01, 10, 100, 111, 101, 1001, 1101, 1011, 0011, 10101, 11001]"
An even number of 1's,(0|10*1)*,(0*(10)*1*)*0*,"positive example: [0, 01, 010, 0101, 000, 0010, 01010, 0000, 00100, 010101],  
negative example: [1, 11, 101, 110, 1010, 1001, 111, 10101, 1100, 10010]"
A valid comment (Sipser 1.22b),/#(/|a|b|##*(a|b))*##*/,(/#)|((a|b|/?)|#)*|(#/),"positive example: [""#"", ""a"", ""b"", ""/"", ""#/"", ""a#"", ""b#"", ""/#"", ""a/b"", ""a#b"", ""#a#b#""],  
negative example: ["""", ""ab#/"", ""/a#b"", ""##"", ""//"", ""ab/"", ""a/b#"", ""#a/b#""]"
Odd number of b's,(a*ba*b)*a*ba*,(((a*)+b+(a*)+b+(a*))|(a*))+b+(((a*)+b+(a*)+b+(a*))|(a*)),"positive example: [""aababab"", ""bababab"", ""aabbaab"", ""ababab"", ""aabab""],  
negative example: [""aa"", ""bb"", ""aba"", ""aaba"", ""baab""]"
first and third,a(a|b)a(a|b)*,a(a|b)*aa*b*,"positive example: [aaaa, aabaa, abbaab, aabbaa, aabbb], negative example: [ab, baa, aab, bba, aaab]"
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(((a|b)a*ba)*|((a|b)a*b))*,"positive example: [abba, aabba, baba, ababba, aababba], negative example: [aa, bb, abaab, bbaa, aabab]"
non isolated 'b',(a|(b*bb))*,a?(a|bb*)*,"positive example: [""a"", ""aa"", ""abb"", ""abba"", ""b"", ""bb"", ""bbb"", ""ab"", ""aab"", ""ba""], negative example: [""c"", ""ac"", ""bc"", ""abc"", ""aac"", ""bbaac"", ""abca"", ""bca"", ""aabbc""]"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a|b)*(baa)*(a|b)*b,"positive example: [ ""abbaab"", ""baab"", ""abbaaab"", ""bbaaab"", ""abbaaabb"" ],  
negative example: [ ""abab"", ""ba"", ""aab"", ""bba"", ""abbaaba"" ]"
Every b followed by two or more a's,(a|baa)*,(b|aa|a)*,"positive example: [b, aa, a, baa, aab, aaa, bba, abab, aaaa, bbb], negative example: [ab, ba, aba, bab, aabb, baba, abba, bbaa, ababab, baaab]"
even prefix,(ab|ba)*,((ab)|(ba))*((ab)|(ba)|(aa)|(bb))*,"positive example: [ab, ba, abab, baba, abba, baab, aaaa, bbbb, abaa, babb], negative example: [a, b, aba, bab, abb, baa, aab, bba, aaab, bbba]"
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,(0|(0|1)*0),"positive example: [0, 00, 10, 100, 010, 000, 1010], negative example: [1, 11, 111, 0111, 101, 0101]"
non isolated 'b',(a|(b*bb))*,(a|b)*bb(a|b)*|a*,"positive example: [bb, abb, bba, abba, aabba, bbb, aabb, bbab], negative example: [a, b, ab, ba, aba, bab, aab, baa]"
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(((a|b)a*b)a*)*,"positive example: [aba, ababaa, baaabaa, aababaa, baaab], negative example: [a, b, ab, ba, baba]"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a|b|baa)*b,"positive example: [b, ab, baaab, baab, baaaab], negative example: [a, ba, baaa, aa, baba]"
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,a*b*a*,"positive example: [ ""aaaabba"", ""abba"", ""aabaa"", ""bb"", ""a"" ], negative example: [ ""abaab"", ""baab"", ""aabab"", ""bab"", ""baaab"" ]"
Three Choices (Regex),001|1010|110,001|10101|1010|110,"positive example:[001,10101,1010,110], negative example:[0001,1001,1110,1011]"
non isolated 'a',(b|(a*aa))*,(b*|ab+)*aa(a|b)*|b*,"positive example: [ ""baa"", ""abaa"", ""bbaa"", ""abbaa"", ""aa"", ""aaa"", ""baab"", ""abaab"", ""bbaab"", ""abbaab"" ],  
negative example: [ ""b"", ""ab"", ""bb"", ""abb"", ""bab"", ""bba"", ""abab"", ""bbab"", ""abbb"", ""bbbb"" ]"
contains 'bab',(a|b)*(bab)(a|b)*,(a*|b*)*|bab|(a*|b*)*,"positive example: ["""", ""a"", ""b"", ""aa"", ""bb"", ""bab"", ""aab"", ""bba"", ""aabb"", ""bbaa""], negative example: [""c"", ""ab"", ""ba"", ""abc"", ""bac"", ""aba"", ""babab"", ""abab""]"
even prefix,(ab|ba)*,(bb|aa|aabb|abab|abba|baba|bbaa|baab)*((aa)|(bb)|(ab)|(ba))*,"positive example: [aa, bb, abab, baba, aabbaa, bbaabb, abbaab, baabba], negative example: [a, b, aba, bab, aab, bba, abbb, baaa]"
even number of 1's,(0*10*10*)*|0*,(0*|1)*,"positive example: ["""", ""0"", ""1"", ""01"", ""10"", ""0011"", ""000"", ""111"", ""0101"", ""000111""],  
negative example: [""2"", ""a"", ""01a"", ""10b"", ""00112"", ""000a"", ""111b"", ""0101c"", ""000111d""]"
even prefix,(ab|ba)*,(aabb|abab|abba|bbaa|baba|baab)*(aa|ab|ba|bb)*,"positive example: [aabb, ababab, bbaaab, baabba, aabbaa, ababba, bbaabb, babaab, aaab, abba, bbaa, baab, aaaa, abab, baba, bbbb],  
negative example: [abc, aab, bba, abcb, aabba, baabc, aabbc, ababc, bbaac, babac, bbaaab, baabbaa, aabbaab, ababbab, bbaabba, babaaba]"
At least one a followed by one b,a+b,[a]*[ab],"positive example: [a, aa, aab, ab, aaaab], negative example: [b, bb, ba, aba, baa]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0*1*)*((10)*(0*1*)*(01)*)*(0*1*)*,"positive example: [""01"", ""10"", ""0011"", ""1100"", ""0101"", ""1010"", ""000111"", ""111000"", ""010101"", ""101010""],  
negative example: [""0"", ""1"", ""00"", ""11"", ""000"", ""111"", ""001"", ""110"", ""011"", ""100""]"
even number of 1's,(0*10*10*)*|0*,(0?1?0*1?0*)*,"positive example: [""0"", ""1"", ""01"", ""10"", ""001"", ""110"", ""0101"", ""1001"", ""0000"", ""1111"", ""010101""],  
negative example: [""2"", ""00a"", ""11b"", ""012"", ""1012"", ""a01"", ""b10"", ""01c"", ""10d"", ""e00""]"
At least one a followed by one b,a+b,(a*)b,"positive example: [""b"", ""ab"", ""aab"", ""aaab""], negative example: ["""", ""a"", ""ba"", ""aba"", ""baa""]"
non isolated 'b',(a|(b*bb))*,((a|b)*bb(a*b*))|a*,"positive example: [aabbaa, bba, aaabbb, aabba, aaa],  
negative example: [abab, baba, aab, bbbbaa, abbaa]"
non isolated 'b',(a|(b*bb))*,(a)*(ab|ba|b|a)*(a)*,"positive example: [a, aa, ab, ba, aaa, aba, baa, aab, baaa, aaba],  
negative example: [b, bb, bbb, abab, baba, abba, baab, bab, abb, babb]"
even prefix,(ab|ba)*,((ab)|(ba))*((a|b)(b|a))*,"positive example: [ab, ba, abab, baba, abba, baab, aab, bba, ababab, bababa],  
negative example: [a, b, aa, bb, aba, bab, aabb, bbaa, abbaa, baabb]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)+aaa(a)*,"positive example: [baaa, aaaa, bbaaa, abaaa, aaaaa], negative example: [ab, ba, aab, bba, aaab]"
even prefix,(ab|ba)*,(aa|bb)*|(ab|ba)*,"positive example: [aa, bb, ab, ba, aaaa, bbbb, abab, baba, aabb, bbaa], negative example: [a, b, aba, bab, aab, bba, abba, baab, abbb, baaa]"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,((b|a)*b+a+a*(b|a)+b),"positive example: [baaab, aabab, bbabab, aaaabab, baaabb], negative example: [ab, baa, aab, baba, abab]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)+(aaa),"positive example: [baaaa, abaaa, bbaaa, aaaaa], negative example: [aa, bb, ab, ba, aab, bba, abba, baba]"
Odd number of b's,(a*ba*b)*a*ba*,a*b(a*b)*a*,"positive example: [""aba"", ""aabaa"", ""baa"", ""ababaa"", ""aababaa""], negative example: [""ab"", ""ba"", ""aaba"", ""bb"", ""aaab""]"
even number of 1's,0*(10*1)*0*,0*(10*10*)*,"positive example: [""0"", ""010"", ""01010"", ""1010"", ""000101000"", ""101010""],  
negative example: [""1"", ""11"", ""0110"", ""0101"", ""101"", ""1001""]"
non isolated 'b',(a|(b*bb))*,(a|b*bb*)*,"positive example: ["""", ""a"", ""b"", ""bb"", ""ab"", ""bba"", ""abab"", ""bbbb"", ""abbb"", ""aabba""], negative example: [""c"", ""ac"", ""bc"", ""abc"", ""bca"", ""aac"", ""bbbc"", ""abca"", ""abcc"", ""aabbc""]"
even prefix,(ab|ba)*,(ab|ba)*(aabb+bbaa+baba+abab)*,"positive example: [abab, baba, aabbaa, bbaabb, abababab, babaabab, abbaabba, babaabba],  
negative example: [aa, bb, aab, bba, abbaa, babaa, aabab, bbaab]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0*(0|1)*0*)|(1*(0|1)*1*),"positive example: [0, 1, 00, 01, 10, 11, 000, 010, 101, 111, 0000, 0110, 1001, 1111],  
negative example: [2, 3, 12, 20, 21, 22, 012, 120, 201, 210, 0112, 1201, 2010, 2101]"
Odd number of b's,(a*ba*b)*a*ba*,((a*(bb)*a*)ba*)+,"positive example: [abba, aabba, abbaa, aabbaa, ababaa, aababaa], negative example: [aba, aaa, bba, baba, abab, aabab]"
even prefix,(ab|ba)*,((ab|ba)*(aa|ab|bb|ba)*)+(ab|ba)*,"positive example: [ababaa, babaab, abbaabba, aabba, baabab], negative example: [a, b, aaab, bbba, ababababab]"
contains 'bab',(a|b)*(bab)(a|b)*,(a|b)*(bab)*(a|b)*(bab)*(a|b)*,"positive example: [""bab"", ""abab"", ""aabab"", ""babab"", ""bababa"", ""ababab"", ""aababab"", ""bababab"", ""babababa"", ""abababab""],  
negative example: [""bb"", ""aa"", ""ba"", ""ab"", ""bba"", ""aab"", ""baa"", ""abb"", ""bbab"", ""aabb""]"
Every b followed by two or more a's,(a|baa)*,(a*|baa*)*,"positive example: [a, baa, aaa, baaaa, aabaa, baaaaa], negative example: [b, ab, ba, aab, bba, abaa]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)*(a|b)*aaa,"positive example: [aaa, baaa, aabaaa, bbaaa, abbaaa], negative example: [a, b, ab, ba, aab, bba]"
At least one a followed by one b,a+b,(aa*)b+,"positive example: [ab, aab, aaab, aaaab], negative example: [b, a, aa, aaa, aaaa]"
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),(0+1*0+)*|((1+0*)*10+1+)*|1*|0+(1+0+)*|1*,"positive example: [""0"", ""1"", ""00"", ""10"", ""01"", ""11"", ""000"", ""101"", ""010"", ""111"", ""0010"", ""1001"", ""1101"", ""0000"", ""10101"", ""01010"", ""11111"", ""00100"", ""10010"", ""11011""],  
negative example: [""2"", ""a"", ""01a"", ""1b0"", ""c10"", ""0112"", ""10a1"", ""b001"", ""11c0"", ""000a"", ""101b"", ""010c"", ""1112"", ""0010a"", ""1001b"", ""1101c"", ""00002"", ""10101a"", ""01010b"", ""11111c""]"
At least one a followed by one b,a+b,(a)*(b+),"positive example: [ab, aab, aaab, b, abbb, aabb], negative example: [ba, a, aa, aaa, bba, aba]"
even prefix,(ab|ba)*,((ab)|(ba))*((ab)|(ba)|(bb)|(aa))*,"positive example: [ab, ba, abab, baba, abba, baab, ababab, babaab, abbaab, baabab],  
negative example: [a, b, aa, bb, aba, bab, aab, bba, ababba, baabba]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*|1*|0*(1*0*)*|1*(0*1*)*,"positive example: ["""", ""0"", ""1"", ""00"", ""11"", ""000"", ""111"", ""01"", ""10"", ""001"", ""110"", ""010"", ""101"", ""0011"", ""1100"", ""0101"", ""1010""],  
negative example: [""2"", ""a"", ""01a"", ""10b"", ""0012"", ""110a"", ""010b"", ""101c""]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*|1*|(0*1+0*1+0*)*|(1*0+1*0+1*)*,"positive example: ["""", ""0"", ""1"", ""00"", ""11"", ""000"", ""111"", ""010"", ""101"", ""001100"", ""110011"", ""000111000"", ""111000111""],  
negative example: [""01"", ""10"", ""001"", ""110"", ""0101"", ""1010"", ""0011"", ""1100"", ""000111"", ""111000""]"
even prefix,(ab|ba)*,(aa*|bb*)*,"positive example: [a, b, aa, bb, aaa, bbb, ab, ba, aab, bba, abab, baba], negative example: [ababab, bababa, aabb, bbaa, abba, baab, aaab, bbba, abbb, baaa]"
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),0*|1*|1+(0+1+)*|0+(1+0+)*,"positive example: [""0"", ""1"", ""00"", ""11"", ""10"", ""01"", ""000"", ""111"", ""101"", ""010"", ""1001"", ""0110""],  
negative example: [""2"", ""a"", ""01a"", ""10b"", ""0012"", ""110a"", ""101b"", ""0102""]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,((a|b)*(a|b))aa(a)*,"positive example: [aaa, baa, abaa, bbaa, aaaaa], negative example: [a, b, ab, ba, aba]"
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,0*(1|0)*0*,"positive example: [""0"", ""1"", ""00"", ""01"", ""10"", ""000"", ""010"", ""100"", ""0000"", ""0100"", ""1000"", ""1010"", ""00000"", ""01010"", ""10000"", ""10100""],  
negative example: [""2"", ""11"", ""011"", ""110"", ""111"", ""0110"", ""1100"", ""1111"", ""01110"", ""11000"", ""11110"", ""011110""]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)(a|b)(a|b)*(aaa(a)*)*,"positive example: [aaa, baa, bbbaaa, aabaaaa, baaaaaa], negative example: [ab, ba, a, b, aabba]"
even prefix,(ab|ba)*,((aa)|(bb)|(ab)|(ba))*,"positive example: [aa, bb, ab, ba, aabb, abba, baba, aabbaa], negative example: [a, b, aba, bab, aab, bba, aaa, bbb]"
Odd number of 1s,0*10*(10*10*)*,(0|1)*1(0|1)*,"positive example: [1, 01, 10, 110, 0110, 111],  
negative example: [0, 00, 000, 0000, 00000]"
An even number of 1's,(0|10*1)*,1*|(0|1)*,"positive example: [""1"", ""11"", ""111"", ""0"", ""01"", ""10"", ""001"", ""110""], negative example: ["""", ""2"", ""00a"", ""1b1"", ""0112""]"
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,(0+(0|1)*0+)*,"positive example: [000, 01010, 00100, 0001100, 0101010], negative example: [01, 10, 0011, 1100, 10101]"
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,(b|a)*,"positive example: [a, b, aa, ab, ba, bb, aaa, aba, bba, bbb], negative example: [c, ac, bc, abc, aac, bbc, aabbc]"
