shortdescription,regex,attemptregex
Every b followed by two or more a's,(a|baa)*,a*|[b]*[a]{2}
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),(0+1+0+)*|(1+(01)*0+1+)*|1*|0*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0|1(0|1)*1|0(0|1)*1
Odd number of 1s,0*10*(10*10*)*,(0*1)*
even prefix,(ab|ba)*,(ab+ba)*(ab+ba)*(aa+bb+ab+ba)*
non isolated 'b',(a|(b*bb))*,((ab)|(ba))*
even prefix,(ab|ba)*,(ab?)*
non isolated 'b',(a|(b*bb))*,(a*(bb*)*a*)
non isolated 'b',(a|(b*bb))*,(a)*b*(bb)*b*(a)*
non isolated 'b',(a|(b*bb))*,(ab+b)*(ba+a)*
Every b followed by two or more a's,(a|baa)*,a*|b*aa+
contains 'bab',(a|b)*(bab)(a|b)*,(a|b|bab)
Every b followed by two or more a's,(a|baa)*,(b|aa)a*
Odd number of 1s,0*10*(10*10*)*,(0*1|(11)*|(101)*|111)
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((1+0*1+)*(0+1*0+)*)*
Every b followed by two or more a's,(a|baa)*,"a*b*aa{2,}"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,a|a*(baaa)a*
Every b followed by two or more a's,(a|baa)*,(a|b)(a)(a)*
Every b followed by two or more a's,(a|baa)*,"a|b(ba{2,})*"
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,(aa*|a*b*)
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0*11*00*)*)|((1*00*11*)*)
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,(b|a)*a
Odd number of b's,(a*ba*b)*a*ba*,a*(b+)(bb)*
contains 'bab',(a|b)*(bab)(a|b)*,(a|bab)*(b|aba)*
Every b followed by two or more a's,(a|baa)*,b*(aa)*
first and third,a(a|b)a(a|b)*,a(a|b)(a|b)a(a|b)*
Odd number of 1s,0*10*(10*10*)*,(1+(11)*)+0*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,ba*aaa+
Odd number of b's,(a*ba*b)*a*ba*,(b)*a*(b|bb*)a*(b)*
even number of 1's,(0*10*10*)*|0*,0*1+1+
non isolated 'b',(a|(b*bb))*,(a*b+)*
Length 2 and 3,(0|1)(0|1)|(0|1)(0|1)(0|1),0+1+
even number of 1's,(0*10*10*)*|0*,(10*)*(10*)*
non isolated 'b',(a|(b*bb))*,(a+b)*(b)(a+b)*b
even number of 1's,(0*10*10*)*|0*,(0*1(0*10*110*)+)|0*|(0*1(0*10*110*)+)?
non isolated 'b',(a|(b*bb))*,(a)*(bb)*b*(a)*
Every b followed by two or more a's,(a|baa)*,((b)*(a)+(a)+)*
even number of 1's,(0*10*10*)*|0*,0*1(0|11*)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0*01+0)|(1*10+1))*
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,0*1+0*
Length 2 and 3,(0|1)(0|1)|(0|1)(0|1)(0|1),0|1*
Odd number of 1s,0*10*(10*10*)*,(0)*(1)*(0)*
Every b followed by two or more a's,(a|baa)*,a*ba*
even prefix,(ab|ba)*,(ab(ab)*|ba(ab)*)((a|b)(a|b))*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,1*0*(0+1+)*
Every b followed by two or more a's,(a|baa)*,(b*(aa+))*
non isolated 'b',(a|(b*bb))*,(a|b)*bba(a|b)*
non isolated 'b',(a|(b*bb))*,a*|(a+b*)*
non isolated 'a',(b|(a*aa))*,(b*|ab+)*aa(a+b)*|b*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,a*b*(baa)+a*b*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,a|b(a|b)*(aaa)*
Odd number of 1s,0*10*(10*10*)*,0*1*(11)*0*
even number of 1's,(0*10*10*)*|0*,0*0*|10*
non isolated 'a',(b|(a*aa))*,b*aa*b*
even prefix,(ab|ba)*,(ab)*(ba)*(aa+bb+ab+ba)*(ba)*(ab)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,a|ba|baaaa*
non isolated 'b',(a|(b*bb))*,(a|b)*b+(a|b)*
Every b followed by two or more a's,(a|baa)*,"(b|a{2,})*"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0*1*)*0+|(1*0*)*1+
Odd number of b's,(a*ba*b)*a*ba*,((a*ba*ba*)*ba*)*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a|b)*abb(a|b)*b
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*(01+0)*(10+1)*(01+0)*0*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,((a|b)(a|b))*aaa
Odd number of b's,(a*ba*b)*a*ba*,b*(aa)*bb*
Odd number of b's,(a*ba*b)*a*ba*,a*(b(bb)*)*a*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0*1*0+)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(01)*|(10)*
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),(1+0*(10+)*1+)*
Three Choices (Regex),001|1010|110,(001|10101)|110
even number of 1's,(0*10*10*)*|0*,(0*1)+(0*1)+
even prefix,(ab|ba)*,(ab+ba)*(a+b)+(a+b?)
even prefix,(ab|ba)*,((ab)|(ba))*((a|b)(a|b))
even number of 1's,(0*10*10*)*|0*,(0+1)*(1+1)*(0+1)*
Length 1 or More,(0|1)(0|1)*,1*0*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,a*b(a|ba*b)*
Three Choices (Regex),001|1010|110,001|10101|110
non isolated 'b',(a|(b*bb))*,(a)*(bb+bb)*(a+b)*
even prefix,(ab|ba)*,(aa|bb)*
non isolated 'b',(a|(b*bb))*,((a)*b*b(bb)*b*(a)*)|((a)*b*(bb)*b*(a)*)
even number of 1's,(0*10*10*)*|0*,(0*1(0*10*110*)*)|0*
Odd number of 1s,0*10*(10*10*)*,(0*|(1(11))*)
Length 1 or More,(0|1)(0|1)*,0*1*0*1*0*1*0*1*0*1*0*1*0*1*0*1*0*1*0*1*0*1*0*1*0*1*0*1*0*1*0*1*0*1*0*1*0*1*
even number of 1's,(0*10*10*)*|0*,0*1(0*1)*0*
Odd number of b's,(a*ba*b)*a*ba*,(b+(bb*))
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),0*|1*|((11*00*11*)|(00*11*00*)|(11*00*11*00*11*)|(00*11*00*11*00*))*
An even number of 1's,(0|10*1)*,0|(0*1)*
non isolated 'a',(b|(a*aa))*,(b*|a*ab*|aa*b*)(b*|aa*b*|a*ab*)(b*|aa*b*|a*ab*)
Every b followed by two or more a's,(a|baa)*,a*|b*(aa)
Odd number of 1s,0*10*(10*10*)*,1(11*)
even number of 1's,(0*10*10*)*|0*,(01)*(01)*
Every b followed by two or more a's,(a|baa)*,a*(b+aa)*a*
Odd number of b's,(a*ba*b)*a*ba*,a*b(a*bb*)*
Every b followed by two or more a's,(a|baa)*,(a*|b*)(aa)+
Odd number of 1s,0*10*(10*10*)*,(0*|1(11)*)(0+|1(11)*)
first and third,a(a|b)a(a|b)*,a(a+b)*a
Every b followed by two or more a's,(a|baa)*,(a*|b*)(aa)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(ab)*(ab)*aaa(a)*
Odd number of b's,(a*ba*b)*a*ba*,b+a(a+b)((b+a)(b+a))*
even number of 1's,(0*10*10*)*|0*,(0*(1?)*0(1?))*
Odd number of b's,(a*ba*b)*a*ba*,(a*ba*ba*ba*)+|a*ba*
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,0*(01)*0*
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),(0+1+0+)*|(1+0+1*0+1+)*|1*
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),1*|((11*00*11*)|(00*11*00*)|(11*00*11*00*11*)|(00*11*00*11*00*))*
even prefix,(ab|ba)*,(bb|aa||ab|ba)*
non isolated 'b',(a|(b*bb))*,((b*bb*)|a)?
Every b followed by two or more a's,(a|baa)*,[ab]*[b]?([a]{2}[a]*)
non isolated 'a',(b|(a*aa))*,(a+b)*aa(a+b)*
contains 'bab',(a|b)*(bab)(a|b)*,bab*
even prefix,(ab|ba)*,(ab|ba?)*(aa|ab|bb|ba)
Odd number of 1s,0*10*(10*10*)*,(1)*
even prefix,(ab|ba)*,(ba)*(ab+ba)*(ba)*
even prefix,(ab|ba)*,(ba+ab)*
Odd number of b's,(a*ba*b)*a*ba*,(a*b(a*bb)*a*|a*(a*bb)*a*b|a*b(a*b)*a*b)
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)|(a|b)aaaa*
non isolated 'b',(a|(b*bb))*,(a)*(ab+b)*(ba+a)*
Every b followed by two or more a's,(a|baa)*,(b*(aaa*)*)
non isolated 'b',(a|(b*bb))*,(a+b)*bbb(a+b)*
non isolated 'b',(a|(b*bb))*,(a|b)*bba(a|b)*|(a|b)*bbb(a|b)*|(a|b)*abb(a|b)*
even number of 1's,(0*10*10*)*|0*,1+(0*|1)1
even prefix,(ab|ba)*,(ab|ba?)(aa|ab|ba|bb)*
even prefix,(ab|ba)*,(ab+ba)?(ab+ba)*(aa+bb+ab+ba)*
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,a+|(a*b*)
non isolated 'b',(a|(b*bb))*,a*b*(ab+ba+b)*b*a*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,aba|b*aaa*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(ab)*aaa
even number of 1's,(0*10*10*)*|0*,0*1(0*|1)
Odd number of b's,(a*ba*b)*a*ba*,((a)*(ab(bb)+))+
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(ab*baa*b)
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a|b)*(bba)(a|b)*b
even prefix,(ab|ba)*,(a*b*)|(b*a*)
non isolated 'b',(a|(b*bb))*,(a)*(bb+bbb)*(a+b)*
Odd number of b's,(a*ba*b)*a*ba*,a*b+(bb*|a*)bb*
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,a*|a*b*
Odd number of b's,(a*ba*b)*a*ba*,(a|b)*b|b(a|b)*
non isolated 'b',(a|(b*bb))*,(a|b)*bb*(a|b)*
Length 1 or More,(0|1)(0|1)*,0*|1*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,((aa|ab|ba|bb)(aaa)+)*
Every b followed by two or more a's,(a|baa)*,b+(aa)
Odd number of b's,(a*ba*b)*a*ba*,(b|bbb)*
